label,text
0,"直播掉线...."
1,"想买信誉好看篇的私聊我有保证"
1,"啰妹扣号2096209202"
1,"慡+C名看P，是Q哦"
1,"佳喂：sx111505可越dl"
1,"鲰ＴＡＤ７６５☀☀日批666666"
0,"三千高中三年一年比一年快一分"
0,"家家户户家喻户晓"
0,"我都溜了4只鸟了咖啡上去直接秒倒，背锅"
1,"16274251宼曰批666666"
0,"老板觉得梦幻没激情了ᚠ"
1,"﻿978798907+口看"
0,"不打了反正瘾也过了刺激也刺激一把了ᚠ"
0,"用手机阴阳师扫码"
1,"蒖人制棴眎頻値播"
1,"﻿染FTA678买-乒威ᚰ"
1,"﻿+口看22471419."
1,"27447053护土口"
1,"﻿看我茗，慡+胃"
1,"伽韦sx111505珂视频箹nw"
1,"琐ＴＲＡ２４５日批666666"
1,"哦哦2◍4878ℨ2怒射ᚰ"
1,"𝕏𝘏𝘾593卖盘."
1,"滓FTA689☎☎在线"
1,"巧TPK564ᚰ片薇"
0,"不可能急性咽炎的"
0,"请谅解那天不应该问你要币"
0,"上了蒸汽机中国能玩🐎"
1,"𝐓𝐌２９７１卖云资源."
1,"网站++++买的私聊0"
1,"微信号18762258554"
1,"﻿投资少，见效快，两腿一张几百块。既舒服，又实在，卖过以后货还在。洗一洗白接着卖，反复使用无大碍。"
1,"黄资源买的私聊我老虎"
1,"黪ＴＡＤ７６５☀☀日批666666"
0,"霉霉ohhhhhhhhhh"
1,"家-企-鹅752753636设了"
0,"昨天晚上的衣服穿起来你知道"
1,".网址盘看姐姐名字++网址盘看姐姐名字++"
1,"姐姐名字家.丝袜扯了舒服"
1,"看妹妹名字家++看妹妹名字家++喂"
1,"买皇篇的哥哥私聊最新"
0,"你知道做废品收购"
1,"免费看片子，只限女"
1,"18683583314擦妹伽微"
1,"2218439086+口口+"
0,"这是赤裸裸的浑水摸鱼呀ᚠ"
1,"淑CC-名字-看-电视ᚰ"
1,"妹妹先视频后上~门→ＡＨ３９ＣＯＭ　光"
1,"颙ＴＡＤ７６５☀☀日批666666"
1,"慧好看FTA675☎☎"
1,"琳FTA675ᚰ寂寞少奶"
0,"可以买吗？不是限量吧😊"
1,"秀TPK564ᚰ片薇"
1,"白色3-25-32-44-5左下0-0"
1,"18228022447擦逼威"
0,"去这下彻底没力气老婆交作业"
0,"8000万加15000"
1,"﻿869533334寂寞姐妹+口"
1,"网站+沜++买的私聊我"
0,"978148574白马，来群里"
0,"5555又想要骑士又想要虞姬皮肤"
0,"我不该下的，这把"
0,"去找妈今天鬼节回姥姥家吃饭"
1,"﻿钕粉B27447053口"
1,"752753636姐姐名"
1,"看妹妹名字夹丝袜洗白白ᚰ了"
1,"歹ＴＡＤ７６５☀☀日批666666"
1,"迦威sx111505，有囊人想要的6D"
1,"君TPK564ᚰ片薇"
1,"﻿看我CC名字加Q资源"
1,"美T6787Vᚰ纯/洁"
0,"新区400美滋滋ᚠ"
0,"其实这武器+11敏也没什么用"
1,"坤少.2019/7/24/周三20:01:03看名+威各种系列坤少.2019/7/24/周三20:01:56看C名，是危哦，束缚"
1,"23968433字源口"
1,"咏CC-名字-看-电视ᚰ"
1,"C9667D寂寞姐妹。"
1,"←點我姐姐脱洸洸噢"
1,"篇加企鹅3514173330ᚰ篇加企鹅3514173330ᚰ篇加企鹅3514173330ᚰ"
1,"﻿姣拼-企-鹅161465267"
1,"文明看腿，素质摸腿"
1,"恭☎☎ＦＴＡ６８９☎麦P"
1,"23608544爆日加叩ᚰ"
1,"网站➕v18676833260"
1,"﻿1255QQ4971懂得加樉"
1,"牢KTA679ᚰ麦P威"
0,"五🐎你可以说她了"
1,"巽FTA689☎☎☎"
1,"琴琴晴晴勤勤芹芹里面找芹芹"
0,"9715加好友要看黄字哦"
1,"www.97sese.com"
1,"21408797看逼."
0,"ID：22555672等级19姓名常智翔"
1,"𝐔𝐗４４４２狂日嫩逼"
1,"还卖片啊！谁需要网址加我老哥"
0,"我送20片，谁送30片？"
1,"口22471419看闭紫苑"
0,"从1万5到2万6，7"
1,"买篇-加-企-鹅24200654"
0,"notch的中文名啊......刻痕"
0,"今晚就苏大强和武帝两人去打一打，其他人全不敢去"
0,"豆豆·神器2+2每个月能有几坨菜·"
0,"来一次就看这么刺激的"
0,"打字老是发不出去"
1,"岚麦饼-喂心CAD571"
0,"7879的果果？"
0,"杨杨今天好好看ᚠ"
1,"沜+网站+买的私聊我"
1,"滓w2753636麦饼卫星"
0,"全国榜第一才600多朵"
0,"稀饭+咸菜😂😂😂"
1,"落FAK256ᚰ看-电视"
0,"shhsbsnsk"
0,"我们还听国语吧😏"
1,"​(V❤）wuhendewul色色❤等你哦❤"
1,"卖片++雪无群左下角"
1,"佳喂：sx111505可越Vm"
1,"无码高清UXC119ᚰ"
1,"纯w2753636麦饼卫星"
0,"qvq....."
1,"需要片的请联系10086"
0,"今天晚上看到太多米估计明天班都上不了"
1,"𝔵𝙝𝘤５９３看盘"
1,"2☻4878ℨ2人人操ᚰ"
0,"1500买的碎片呀"
0,"我去煮个小米粥ᚠᚠᚠ"
1,"2952191783+口"
1,"50线下V视频果聊"
1,"嘉29526Q77544"
1,"韵w2753636麦饼卫星"
1,"PK1122111任务2122211"
1,"﻿性感撕挖14959967口"
1,"黄资源买的私聊我哦"
0,"靓仔，不在作废么？😂"
0,"FACEBOOS"
1,"27879947射日姐+口"
1,"熙15751764994信"
1,"色哥哥、、拍、、慰、视、频一、元一部、看资料V、"
1,"﻿16274251+蔲曰批666666"
1,"封号包换家-752753636-企-鹅0."
0,"2700买根红狐狸5.4的"
1,"774733332家寇."
1,"BHC979威ᚰ."
1,"全裸自慰你指挥激情加V信EKT010"
1,"BHC979+威ᚰ"
1,"怦ＴＲＡ２４５☀☀日批666666"
1,"重口味的看姐姐名字家咯封号包了哦ᚰ"
0,"这是谁呢一直喂喂喂喂喂喂狗没玩了吗"
1,"我有7位QQ5830267.需要的联系我"
0,"170身高。美滋滋"
1,"豬樹坎梶群176534781"
1,"QK4459++喂+"
0,"黄老仁好懂漫威哦"
1,"﻿27447053看逼伽口"
1,"﻿12554971黑足加冦"
1,"﻿22902554+蔲曰批666666."
0,"1G等于1024M"
1,"看片的加我v13427221844"
1,"迷á??á药我这有你要嘛"
0,"谁没被母蚊子叮过"
1,"安FTA675ᚰ你的-爱"
1,"看妹妹名字家+++"
1,"看姐姐名字加我私聊"
1,"﻿15373608看逼家口。"
1,"韵2952191783北极鸟"
1,"涵喂心CAD571"
0,"上次你离得那么近"
0,"义乌电视台主办二十家平台同步直播明天下午四点新光汇海选"
1,"加无情Vw1786500633"
1,"﻿169047089色Ｑ."
0,"我手机看看哦网页版看不到"
0,"这个淘宝充值真的不行"
0,"我对于号，是白痴"
1,"𝐇𝕌𝐗457卖片"
1,"YW90069看偏家喂0"
1,"观我名字+++喂爽设"
1,"？-97979494"
1,"加V有福利哦，你懂的"
1,"﻿19343631看逼家口."
0,"520又想骗吃骗喝"
1,"20487832聊妹加αᚰ"
1,"想买信誉好看篇的私聊我."
1,"熙15751764994卫星"
1,"27447053妹B嫰"
0,"祝思雨宝宝美的不像话说话都发芽"
1,"荔29526Q77544"
1,"妹视频爱Q11946Ж76807"
0,"狼人殺不會玩看不懂"
1,"篇-加-企-鹅835422224"
1,"喵播里的小湿妹好厉害的"
1,"漩麦饼-喂心CAD571"
1,"﻿ＴＡＤ７６８☀曰批666666"
1,"韵15751764994信"
0,"美，美美，美美美"
1,"看篇的老哥们..需要买的私聊我"
1,"パㄦはㄟ㈤ゝやㄩま倮+嶶765510103"
1,"本ＴＡＤ７６５☀☀日批666666"
0,"哦哦哦我等会看看"
1,"豬樹坎梶宼q群176534781"
1,"看篇加CT6085ᚠ"
1,"𝘒𝘔𝘋252买-P-微。"
1,"皇盘要的私聊我皇盘要的私聊我"
0,"要4999000c卷"
0,"来自历史前二的拥抱"
0,"现在牛抽验都不回避"
1,"﻿CC茗，看片.."
1,"﻿看我茗+Q涩情塽"
0,"不行单纯登录的页面都是空白的"
0,"5700万1000R"
1,"寂寞想要网站了找我"
1,"惛+CC名，是威，看大咪咪"
0,"ap娛樂明天會更好"
1,"﻿染15751764994卫星"
1,"﻿让人开心15427049口。"
1,"皇盘荬的私聊我."
1,"S1897威力高"
1,"毓w2753636麦饼卫星"
1,"𝕊𝕂𝔼597➣➣买盘"
1,"𝕊𝕂𝔼597➽➽盘盘"
1,"凡鹅351144829"
0,"101150w，160w"
0,"七夕前一天现在没睡到10小时"
0,"beautiful"
1,"﻿徽“交龙22”"
1,"买篇加企鹅20；487832ᚰ"
1,"ΡСΧ664卖云资源.ΡСΧ664卖云资源"
0,"皮皮虾biubiubiu"
1,"八加微信qv4456"
1,"家看筘─5四27049"
0,"女人的空虚寂寞ᚠ"
0,"你確定要這樣玩嗎"
0,"看昵称，看昵称，看昵称"
1,"爆插╬ᚰ企鹅15373608"
1,"巧KTA679买乒威"
1,"冉15751764994卫星"
1,"CT6085盘片"
0,"你敢想象靓仔的脸红蝶的衣服＋＋大码的吗？😱"
0,"免费吗！免费我上"
0,"做爱做的事情懂吗"
